Name X Y BlueF GreenF RedF Size RadialVelocity
DG1538 -40.8723 -22.3616 2.426e-15 1.746e-15 6.110e-16 234.1269 633.25
DG1539 -41.6925 -22.4783 9.379e-16 7.957e-16 3.809e-16 134.7821 635.4
DG1540 -40.9546 -21.3415 5.475e-26 1.322e-27 6.926e-33 166.0126 635.5
DG1541 -41.9958 -22.9197 8.661e-16 7.622e-16 3.490e-16 123.1899 637.98
DG1542 -40.3383 -21.3325 5.898e-26 1.530e-27 6.193e-33 135.2483 634.55
DG1543 -40.5904 -21.9315 6.639e-16 5.245e-16 2.356e-16 157.8419 635.29
DG1544 -41.0412 -22.3559 6.569e-16 5.296e-16 2.325e-16 255.9716 634.45
DG1545 -42.0101 -22.4387 5.234e-26 1.415e-27 6.789e-33 169.457 632.59
DG1546 -40.9510 -23.1193 9.042e-16 7.402e-16 2.808e-16 110.9096 636.87
DG1547 -41.4465 -22.1647 9.460e-16 7.920e-16 3.562e-16 135.9472 635.76
DG1548 -40.7266 -21.4570 8.648e-16 7.204e-16 3.137e-16 117.5293 638.41
DG1549 -40.2563 -22.1547 9.820e-16 7.984e-16 3.614e-16 146.1124 631.74
DG1550 -41.8350 -23.3606 8.650e-16 7.115e-16 2.983e-16 122.5397 634.47
DG1551 -40.6561 -21.5768 9.896e-16 7.361e-16 3.692e-16 131.516 633.59
DG1552 -41.2927 -22.4747 5.951e-16 4.764e-16 2.278e-16 278.6153 636.44
DG1553 -40.6529 -22.1753 9.682e-16 7.719e-16 3.683e-16 144.1718 631.98
DG1554 -40.9532 -23.0318 9.244e-16 7.402e-16 3.218e-16 119.7577 633.08
DG1644 -25.0632 26.9362 5.558e-16 4.781e-16 2.212e-16 123.5893 676.12
DG1663 37.1266 32.4683 2.082e-15 1.717e-15 7.694e-16 506.5766 342.83
DG1664 36.3527 33.0895 2.984e-15 2.446e-15 1.082e-15 244.507 341.88
DG1665 37.8565 33.4455 1.977e-15 1.620e-15 7.471e-16 251.5318 340.44
DG1666 36.8555 32.0803 2.924e-15 2.540e-15 9.830e-16 221.982 342.24
DG1667 37.1797 32.8730 8.382e-26 2.310e-27 1.033e-32 280.7684 341.24
DG1668 37.4315 33.4409 9.301e-26 2.153e-27 9.845e-33 343.0694 341.32
DG1669 37.8006 32.2002 2.041e-15 1.742e-15 8.203e-16 270.6585 340.52
DG1670 37.0877 32.8195 8.242e-26 2.115e-27 1.053e-32 240.1245 342.4
DG1671 10.9132 -28.4797 1.478e-16 1.183e-16 5.427e-17 59.5349 1369.41
DG1771 -7.9222 8.3520 2.049e-16 1.667e-16 7.110e-17 109.053 1174.38
DG1772 -7.9073 8.4648 3.153e-16 2.360e-16 1.199e-16 68.8914 1174.54
DG1773 -7.8489 8.3679 7.254e-26 1.851e-27 8.863e-33 87.7381 1173.65
DG1774 -7.8973 8.3260 2.075e-16 1.545e-16 7.294e-17 72.0736 1175.04
