Name X Y BlueF GreenF RedF Size RadialVelocity
DG1058 14.0599 10.2232 6.331e-26 1.582e-27 7.990e-33 71.7633 1010.83
DG1059 13.6881 10.8129 3.201e-16 2.985e-16 1.245e-16 60.2533 1008.6
DG1060 14.9790 11.0962 2.585e-16 2.287e-16 9.033e-17 88.3221 1003.65
DG1061 14.1320 10.3237 3.941e-16 2.992e-16 1.305e-16 74.8389 1006.21
DG1062 13.9370 10.0711 2.595e-16 2.055e-16 8.911e-17 88.0801 1003.08
DG1063 13.8451 10.2340 3.859e-16 2.936e-16 1.349e-16 80.4419 1004.94
DG1064 14.4302 10.8030 3.625e-16 2.949e-16 1.328e-16 78.263 1003.92
DG1065 14.3662 10.2140 5.758e-26 1.412e-27 7.881e-33 89.6955 1006.22
DG1066 14.6907 10.9632 3.914e-16 3.633e-16 1.453e-16 89.484 1005.19
DG1067 13.5198 10.7462 6.180e-26 1.689e-27 7.344e-33 104.1076 1004.03
DG1068 14.0471 10.8782 2.821e-16 2.041e-16 9.707e-17 79.3078 1004.54
DG1069 14.7911 10.2796 5.120e-16 3.905e-16 1.522e-16 67.9112 1006.47
DG1070 13.9039 9.6498 3.954e-16 3.246e-16 1.373e-16 85.434 1003.99
DG1071 13.5944 10.2520 3.938e-16 3.004e-16 1.298e-16 73.5139 1010.47
DG1072 14.3657 11.1243 3.689e-16 2.848e-16 1.213e-16 66.2996 1004.94
DG1073 14.8453 10.9138 3.651e-16 2.902e-16 1.277e-16 74.1773 1006.78
DG1074 15.0813 10.3798 6.508e-26 1.545e-27 7.320e-33 94.1932 1008.22
DG1075 14.2309 10.7332 2.670e-16 1.968e-16 1.010e-16 197.2746 1007.69
DG1076 13.4125 10.6371 3.514e-16 2.826e-16 1.356e-16 74.413 1008.91
DG1077 14.8786 10.5080 3.514e-16 3.245e-16 1.371e-16 71.8972 1009.2
DG1078 14.3679 10.5243 2.531e-16 2.110e-16 8.568e-17 166.1146 1006.23
DG1079 14.1724 9.7218 3.912e-16 3.462e-16 1.422e-16 97.6993 1005.61
DG1080 14.1608 10.9715 2.720e-16 2.256e-16 1.037e-16 143.2231 1008.54
DG1081 14.7227 11.1111 3.884e-16 3.291e-16 1.371e-16 92.701 1003.97
DG1082 13.8875 11.1928 6.327e-26 1.442e-27 7.724e-33 78.9783 1003.35
DG1083 14.1015 9.4705 3.632e-16 3.065e-16 1.227e-16 75.6883 1003.2
DG1084 13.4433 10.7812 3.651e-16 2.849e-16 1.342e-16 72.0842 1005.41
DG1085 13.7283 9.8069 4.240e-16 3.349e-16 1.443e-16 77.8271 1007.96
DG1086 14.2407 11.2185 3.539e-16 2.803e-16 1.359e-16 64.1329 1011.84
DG1087 13.6612 9.8093 3.276e-16 3.213e-16 1.221e-16 73.9186 1012.46
DG1088 14.0854 11.4909 2.602e-16 2.112e-16 9.723e-17 78.679 1005.48
DG1089 13.9602 11.1530 5.513e-16 4.424e-16 1.661e-16 84.9005 1006.4
DG1090 14.1963 10.6645 2.361e-16 2.018e-16 9.321e-17 159.5381 1009.33
DG1091 14.4493 10.2709 3.435e-16 2.841e-16 1.268e-16 72.2366 1003.57
