Name X Y BlueF GreenF RedF Parallax RadialVelocity Variable?
S076859 -3.4563 -31.0016 3.804e-21 7.202e-21 1.869e-20 0.0 143.52 0.0
S076860 -3.5053 -30.9986 1.009e-17 8.840e-18 4.910e-18 0.0 142.74 0.0
S076861 -3.5162 -31.0406 9.065e-22 2.008e-21 7.263e-21 0.0 142.53 0.0
S076862 -3.4974 -31.0004 5.814e-22 1.282e-21 4.632e-21 0.0 147.56 0.0
S076863 -3.4957 -31.0355 2.397e-22 5.004e-22 1.674e-21 0.0 140.9 0.0
S076864 -3.4668 -31.0192 2.037e-17 4.135e-17 1.285e-16 0.0 143.22 0.0
S076865 -3.4945 -31.0549 2.014e-17 3.081e-17 5.097e-17 0.0 145.82 0.0
S076866 -3.5158 -31.0202 5.011e-22 9.934e-22 2.955e-21 0.0 147.02 0.0
S076867 -3.5165 -31.0288 4.366e-23 1.110e-22 5.665e-22 0.0 145.59 0.0
S076868 -3.4748 -31.0162 9.771e-22 1.833e-21 5.037e-21 0.0 141.5 0.0
S076869 -3.4597 -31.0602 1.396e-20 2.337e-20 4.948e-20 0.0 148.24 0.0
S076870 -3.4797 -31.0363 1.312e-17 1.151e-17 6.435e-18 0.001 144.04 0.0
S076871 -3.4557 -31.1203 7.213e-19 8.356e-19 8.339e-19 0.0 149.57 0.0
S076872 -3.4668 -31.0004 1.493e-19 1.911e-19 2.215e-19 0.0 141.5 0.0
S076873 -3.5094 -30.9648 3.464e-20 5.250e-20 9.226e-20 0.0 146.16 0.0
S076874 -3.4744 -30.9954 5.614e-18 5.434e-18 3.597e-18 0.0 146.52 0.0
S076875 -3.487 -31.0616 7.122e-18 6.606e-18 4.224e-18 0.0 146.35 0.0
S076876 -3.529 -31.0285 3.862e-25 1.634e-24 2.352e-23 0.0 145.93 0.0
S076877 -3.479 -31.0632 5.112e-22 1.152e-21 4.520e-21 0.0 144.02 0.0
S076878 -3.484 -31.1162 1.739e-21 1.211e-21 4.348e-22 0.0 139.95 0.0
S076879 -3.4785 -31.0301 3.805e-17 3.091e-17 1.442e-17 0.0 144.88 0.0
S076880 -3.4911 -31.0669 3.257e-25 1.520e-24 2.657e-23 0.0 143.15 0.0
S076881 -3.5073 -31.042 1.234e-21 8.861e-22 3.360e-22 0.0 143.05 0.0
S076882 -3.4821 -31.052 3.018e-22 7.194e-22 3.119e-21 0.0 141.93 0.0
