Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BottomS04027,42.1226,8.3062,5.055e-19,5.192e-19,4.092e-19,0.0,62.57,0
BottomS04029,42.1297,8.2186,9.461e-19,1.714e-18,4.068e-18,0.0,64.67,0
BottomS04030,42.0497,8.2988,3.191e-18,2.951e-18,1.826e-18,-0.0,62.85,0
BottomS04031,42.1884,8.2468,7.122e-20,8.523e-20,8.481e-20,0.0,63.94,0
BottomS04038,42.1514,8.1972,5.190e-14,3.623e-14,1.292e-14,-0.0,64.69,0
BottomS04040,42.0896,8.2147,1.030e-20,1.538e-20,2.547e-20,-0.0,64.24,0
BottomS04041,42.0826,8.2552,3.879e-18,3.376e-18,1.814e-18,0.001,62.96,0
BottomS04042,42.0356,8.2773,3.750e-19,3.809e-19,2.875e-19,-0.001,62.67,0
BottomS04044,42.1661,8.2163,1.031e-20,1.464e-20,2.186e-20,-0.0,64.4,0
BottomS04045,42.0611,8.2626,3.816e-18,3.316e-18,1.846e-18,-0.0,63.06,0
BottomS04047,42.0660,8.2700,1.987e-18,3.948e-18,1.182e-17,-0.0,62.77,0
BottomS04048,42.1414,8.2178,7.177e-18,6.058e-18,3.092e-18,0.0,64.65,0
BottomS04049,42.1616,8.2133,1.538e-18,1.432e-18,9.429e-19,0.0,64.52,0
BottomS04050,42.1813,8.2210,1.817e-13,1.354e-13,5.372e-14,0.0,64.38,0
BottomS04055,42.1720,8.2080,1.278e-18,1.219e-18,8.022e-19,0.0,64.47,0
BottomS04056,42.1482,8.2432,1.402e-19,1.647e-19,1.580e-19,0.0,63.92,0
BottomS04057,42.1705,8.2289,4.006e-20,4.918e-20,5.635e-20,0.001,64.23,0
BottomS04061,42.1800,8.2272,2.694e-18,4.176e-18,7.227e-18,0.0,64.4,0
BottomS04062,42.0630,8.2688,4.528e-20,5.743e-20,6.804e-20,-0.0,62.86,0
BottomS04063,42.0758,8.2854,5.805e-20,6.695e-20,6.561e-20,-0.0,62.44,0
BottomS04065,42.0655,8.2599,3.719e-17,2.819e-17,1.133e-17,0.0,63.2,0
BottomS04066,42.0584,8.2561,1.090e-18,1.074e-18,7.517e-19,-0.001,63.0,0
BottomS04071,42.1908,8.2115,1.580e-20,2.241e-20,3.437e-20,0.0,64.53,0
BottomS04072,42.0590,8.2564,1.785e-18,1.656e-18,1.048e-18,0.001,63.17,0
BottomS04073,42.1800,8.2303,5.105e-14,5.562e-14,4.650e-14,-0.001,64.17,0
BottomS04075,42.0598,8.2756,5.438e-18,1.034e-17,2.801e-17,-0.0,62.88,0
