Name X Y BlueF GreenF RedF Size RadialVelocity
DG0707 4.8182 -35.6870 1.292e-15 1.091e-15 4.529e-16 149.1445 505.41
DG0708 5.3675 -35.6600 1.268e-15 1.120e-15 4.605e-16 173.8879 503.56
DG0709 5.4140 -36.8368 1.535e-15 1.214e-15 5.366e-16 166.8279 507.21
DG0710 6.1988 -35.9161 1.572e-15 1.085e-15 4.952e-16 135.6304 508.35
DG0711 4.8068 -36.4656 2.081e-15 1.615e-15 6.099e-16 152.1339 503.12
DG0712 5.9411 -37.3005 8.779e-16 7.777e-16 3.796e-16 174.3812 503.85
DG0713 5.2588 -36.4637 5.821e-26 1.596e-27 7.308e-33 197.7661 507.69
DG0714 6.0608 -35.8739 1.577e-15 1.191e-15 5.778e-16 197.5888 505.76
DG0715 4.6806 -36.0653 1.363e-15 1.050e-15 5.079e-16 179.4931 504.4
DG0910 -20.4147 41.2808 5.637e-16 4.306e-16 1.893e-16 111.6849 672.86
DG0913 -18.5160 31.2070 2.445e-15 2.133e-15 8.892e-16 227.8165 393.71
DG0914 -19.2091 31.3774 2.613e-15 1.710e-15 7.691e-16 191.1846 393.83
DG0915 -18.5344 31.7699 2.449e-15 1.956e-15 9.112e-16 227.0264 392.38
DG0916 -19.2775 31.6397 2.180e-15 1.815e-15 8.327e-16 186.0837 393.87
DG0974 2.2612 33.4882 6.939e-16 5.406e-16 2.628e-16 208.2081 585.97
DG0975 2.3588 33.5699 1.215e-15 9.261e-16 4.020e-16 135.2414 586.37
DG0976 2.0199 33.2319 1.008e-15 8.284e-16 3.522e-16 135.9731 585.01
DG0977 2.3955 33.3977 9.874e-16 7.855e-16 3.509e-16 117.47 586.25
DG0978 2.0288 33.4718 5.598e-26 1.548e-27 6.973e-33 190.3947 585.38
DG1116 -6.3389 8.8590 4.176e-16 3.211e-16 1.379e-16 320.4615 765.71
DG1117 -6.4532 8.6530 5.853e-26 1.211e-27 7.025e-33 119.0106 764.23
DG1118 -6.3165 8.9294 4.486e-16 3.546e-16 1.466e-16 130.0152 766.89
DG1119 -6.2604 8.5742 5.543e-26 1.510e-27 6.952e-33 112.5237 764.91
DG1120 -6.2197 8.9806 7.471e-16 6.312e-16 2.478e-16 124.071 765.08
DG1121 -6.3081 8.8697 5.936e-16 4.477e-16 2.210e-16 96.6391 765.92
DG1122 -6.2060 8.8931 7.045e-16 5.365e-16 2.610e-16 117.5787 764.4
DG1123 -6.5556 9.0997 6.724e-16 4.281e-16 2.140e-16 92.5479 766.57
DG1124 -6.5714 8.9451 6.363e-16 4.812e-16 2.104e-16 92.6822 766.17
DG1131 -1.1428 15.3590 1.285e-16 1.127e-16 5.050e-17 68.5299 1423.81
DG1162 4.3578 -33.5885 2.130e-16 1.658e-16 7.842e-17 124.5474 1205.41
DG1163 4.2992 -33.5846 2.380e-16 2.156e-16 9.509e-17 65.3312 1204.55
DG1164 4.3461 -33.4736 6.718e-26 1.751e-27 8.853e-33 79.0933 1204.48
DG1165 4.2073 -33.5532 2.797e-16 2.396e-16 1.086e-16 84.6764 1206.2
DG1166 4.3203 -33.6323 2.980e-16 2.117e-16 9.499e-17 64.6449 1205.61
DG1167 4.3750 -33.4778 7.470e-26 1.978e-27 8.559e-33 83.595 1205.26
DG1168 -1.2370 30.1382 2.461e-16 1.618e-16 7.928e-17 104.9382 1086.24
DG1226 14.3260 -20.5421 2.885e-15 2.611e-15 1.119e-15 218.9504 284.78
DG1227 14.2539 -20.8746 4.381e-15 3.254e-15 1.174e-15 222.348 285.06
DG1250 -19.0940 -20.3676 1.144e-14 9.254e-15 3.087e-15 885.9879 270.58
DG1251 -19.4847 -20.7749 1.153e-25 2.933e-27 1.409e-32 310.0533 271.33
DG1252 -20.0134 -21.2958 1.177e-25 2.857e-27 1.339e-32 302.234 270.46
DG1253 -19.4936 -19.2260 4.758e-15 4.031e-15 1.902e-15 334.0846 271.69
DG1254 -20.1504 -20.3550 6.057e-15 4.858e-15 1.918e-15 237.1917 274.72
DG1255 -17.7912 -19.8167 4.264e-15 3.291e-15 1.329e-15 227.0546 271.87
DG1256 -17.8362 -20.1458 4.477e-15 3.946e-15 1.793e-15 335.6084 273.64
DG1257 -19.3820 -21.3337 2.990e-15 2.444e-15 1.028e-15 298.0211 272.57
DG1258 -18.8075 -21.4314 9.985e-26 2.690e-27 1.387e-32 308.5697 273.94
DG1259 -19.8544 -19.9055 4.827e-15 3.661e-15 1.677e-15 310.9028 274.63
DG1260 -18.3899 -18.9832 1.063e-25 2.763e-27 1.317e-32 351.6988 271.14
DG1261 -19.3117 -21.1367 2.811e-15 2.164e-15 1.092e-15 338.3001 275.47
DG1274 -4.7702 -9.8151 1.352e-16 1.165e-16 4.706e-17 149.3305 1497.57
DG1275 -4.8085 -9.8740 1.032e-25 2.939e-27 1.339e-32 64.8444 1497.59
DG1276 -4.7934 -9.7714 1.784e-16 1.470e-16 6.459e-17 50.5742 1498.2
DG1277 -4.8934 -9.7000 2.167e-16 1.685e-16 7.772e-17 67.2106 1495.93
DG1278 -4.7207 -9.7441 1.776e-16 1.407e-16 6.493e-17 54.8921 1496.07
DG1279 -4.6643 -9.7141 1.068e-25 2.783e-27 1.318e-32 63.0734 1496.72
DG1280 -4.6515 -9.9265 2.542e-16 2.279e-16 8.478e-17 53.9082 1496.79
DG1281 -4.9641 -9.8378 1.844e-16 1.468e-16 6.638e-17 44.173 1497.52
DG1340 -2.6212 -39.6197 1.196e-15 9.489e-16 4.154e-16 339.9926 479.0
DG1341 -2.4715 -40.0253 6.702e-26 1.700e-27 7.918e-33 199.7806 477.7
DG1342 -2.5288 -39.3681 7.359e-26 1.751e-27 8.186e-33 203.9913 478.71
DG1343 -2.9331 -39.9960 1.364e-15 9.998e-16 4.310e-16 186.4659 479.04
DG1344 -2.7906 -39.6663 1.615e-15 1.422e-15 6.282e-16 140.9306 478.85
DG1345 -3.1209 -40.0974 1.918e-15 1.558e-15 6.551e-16 187.7846 477.92
DG1346 -2.6370 -39.2125 1.870e-15 1.446e-15 7.154e-16 202.4619 479.29
DG1411 18.2728 25.2083 8.634e-16 7.039e-16 3.333e-16 105.3066 682.02
DG1412 18.3237 25.1965 5.512e-26 1.510e-27 7.340e-33 148.4117 682.63
DG1413 18.3935 25.1676 8.730e-16 7.346e-16 2.913e-16 116.8602 682.93
DG1432 15.9355 -12.5090 1.917e-16 1.541e-16 6.982e-17 51.9838 1363.74
DG1433 15.9191 -12.5040 2.111e-16 1.781e-16 8.337e-17 60.6829 1363.85
DG1434 15.9078 -12.5879 2.176e-16 1.971e-16 7.899e-17 58.7914 1364.39
DG1435 7.8008 40.3045 2.737e-15 2.373e-15 9.634e-16 630.05 288.39
DG1436 7.2159 39.1094 4.274e-15 3.680e-15 1.426e-15 267.0418 289.3
